geometry,Class,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,NDSI,image_date,site_name
POINT (-145.44545619974298 63.294158300762064),1,1.4348675000000002,1.4597550000000001,1.42934,1.3915000000000002,1.1532950000000002,0.2111725,0.21989000000000003,0.9756450000000001,0.7425530131589976,20210610,Gulkana
POINT (-145.4465234476197 63.29261941729054),1,1.4309075000000002,1.4550250000000002,1.4240050000000002,1.385175,1.1528275000000001,0.21252000000000001,0.22143000000000002,0.976195,0.7402789447151739,20210610,Gulkana
POINT (-145.44958776859076 63.29054851281069),1,1.4052775000000002,1.426865,1.3908125000000002,1.3498100000000002,1.121175,0.21056750000000002,0.2189,0.9769925,0.737017447451573,20210610,Gulkana
POINT (-145.4527076990357 63.29202219524237),1,1.4442450000000002,1.4721575000000002,1.4422925000000002,1.4043425,1.1750200000000002,0.2234925,0.23102750000000002,0.9823825,0.7316670518704393,20210610,Gulkana
POINT (-145.45578056739149 63.29438130677221),1,1.4778225,1.5045525000000002,1.4791425,1.4455650000000002,1.2131900000000002,0.21991750000000002,0.22800250000000002,0.9602175000000001,0.7411303897449177,20210610,Gulkana
POINT (-145.45230743347412 63.294897384701706),1,1.5047725,1.5345550000000001,1.5129400000000002,1.4820300000000002,1.2455575,0.21403250000000001,0.22302500000000003,0.9631875000000001,0.7521298109842512,20210610,Gulkana
POINT (-145.448348189407 63.29529733531625),1,1.4511200000000002,1.475705,1.4448225000000001,1.408055,1.1728750000000001,0.21298750000000002,0.22145750000000003,0.9676150000000001,0.743049565390485,20210610,Gulkana
POINT (-145.44342764786828 63.290702854255635),1,1.4135000000000002,1.4342075,1.3999425,1.358775,1.1273900000000001,0.21106250000000001,0.22005500000000003,0.97867,0.7379741217438804,20210610,Gulkana
POINT (-145.4464681566298 63.28907476265303),1,1.4368200000000002,1.461845,1.4289275000000001,1.3893000000000002,1.1575025,0.21216250000000003,0.2205775,0.9787250000000001,0.7414370936389838,20210610,Gulkana
POINT (-145.45138052906847 63.28923899090293),1,1.4172125000000002,1.4420725,1.409485,1.36939,1.139545,0.2111725,0.21947750000000002,0.9781200000000001,0.7393989785010097,20210610,Gulkana
POINT (-145.448800356464 63.28688514066169),1,1.38897,1.4141325000000002,1.3676025,1.3295700000000001,1.1097075,0.209715,0.219065,0.9801275,0.734086510800774,20210610,Gulkana
POINT (-145.44357686174652 63.287935690914196),1,1.419715,1.4429525,1.40866,1.3753300000000002,1.1359425,0.21227250000000003,0.22088000000000002,0.9797150000000001,0.7380859474407477,20210610,Gulkana
POINT (-145.43785517228974 63.28909134321783),1,1.4543375,1.486045,1.4588475,1.4268100000000001,1.1963875000000002,0.21293250000000002,0.22206250000000002,0.9783675000000001,0.745262534544019,20210610,Gulkana
POINT (-145.42971594792044 63.28944488174547),1,1.4607175000000001,1.4944325,1.4813425000000002,1.4574725000000002,1.22177,0.21298750000000002,0.2207975,0.9780925000000001,0.7485879374147892,20210610,Gulkana
POINT (-145.43284074900143 63.29080831035954),1,1.421475,1.4467475,1.4200725,1.3830575,1.1462,0.2172225,0.225335,0.981585,0.7346568578050992,20210610,Gulkana
POINT (-145.43996605496633 63.28645642618222),1,1.3295975000000002,1.3438975000000002,1.3027025,1.2573550000000002,1.0367775000000001,0.20927500000000002,0.21840500000000002,0.9806775000000001,0.7231770975427874,20210610,Gulkana
POINT (-145.44448157909207 63.28484452227695),1,1.3688675000000001,1.39084,1.3533575000000002,1.3107875000000002,1.0846275,0.20999,0.21909250000000002,0.98318,0.7313585111435557,20210610,Gulkana
POINT (-145.4379386897833 63.28300090123368),1,1.3943050000000001,1.42076,1.3906200000000002,1.3526975,1.1210375000000001,0.21370250000000002,0.22286000000000003,0.986975,0.7335915939594438,20210610,Gulkana
POINT (-145.4355340096532 63.28651857918948),1,1.3414225000000002,1.358775,1.3239325000000002,1.2810875000000002,1.054405,0.2113375,0.2203025,0.9820800000000001,0.7246901196532207,20210610,Gulkana
POINT (-145.43809473677123 63.284663891970474),1,1.3908950000000002,1.4142975000000002,1.3789600000000002,1.3391125000000001,1.1089375000000001,0.21298750000000002,0.222255,0.981365,0.7324189396949333,20210610,Gulkana
POINT (-145.43323127764924 63.28361371936349),1,1.3987600000000002,1.4246375000000002,1.4225475,1.3887225,1.13883,0.2144725,0.22253000000000003,0.9817500000000001,0.7379720467679075,20210610,Gulkana
POINT (-145.45357319973326 63.28505425063282),1,1.4570325000000002,1.4826625000000002,1.45541,1.4192475000000002,1.183435,0.21637,0.22440000000000002,0.9808700000000001,0.7411501513357022,20210610,Gulkana
