geometry,Class,Blue,Green,Red,NIR,NDSI,image_date,site_name
POINT (-145.47583358803644 63.29869276752685),1,[0.90915558],[0.91982131],[0.88336869],[0.74875443],[0.10252269],20210615,Gulkana
POINT (-145.47480248171345 63.29829180888198),1,[0.96760899],[0.97871167],[0.96352991],[0.82735656],[0.08380365],20210615,Gulkana
POINT (-145.4737758211282 63.2978073341598),1,[0.87097751],[0.85673947],[0.84089521],[0.69765491],[0.10234504],20210615,Gulkana
POINT (-145.47399379746776 63.29719692452704),1,[0.85134924],[0.854015],[0.81696648],[0.69765491],[0.10076891],20210615,Gulkana
POINT (-145.47475821003803 63.2967873278623),1,[0.84703534],[0.84521288],[0.82534154],[0.69472564],[0.09772289],20210615,Gulkana
POINT (-145.47545927013562 63.29640490151639),1,[0.8625654],[0.86176925],[0.84169283],[0.71116211],[0.09574934],20210615,Gulkana
POINT (-145.4770353151494 63.29703449631322),1,[0.91497935],[0.91332451],[0.89333899],[0.74175673],[0.10366124],20210615,Gulkana
POINT (-145.47621347563677 63.29735993504216),1,[0.85436898],[0.85191926],[0.8341154],[0.67161694],[0.11834462],20210615,Gulkana
POINT (-145.47563171654494 63.297827197205294),1,[0.86213401],[0.85967351],[0.8341154],[0.70514083],[0.09875464],20210615,Gulkana
POINT (-145.47653174114282 63.298366008593234),1,[0.84574117],[0.83913523],[0.81357658],[0.68740246],[0.09939667],20210615,Gulkana
POINT (-145.47883246652037 63.29816776842953),1,[0.7894447],[0.78275976],[0.75953755],[0.63630294],[0.10320673],20210615,Gulkana
POINT (-145.48033919521413 63.297766063546796),1,[0.98939422],[1.01496801],[1.00002121],[0.82947215],[0.10057028],20210615,Gulkana
POINT (-145.48198425092522 63.2970872972163),1,[1.08106471],[1.1281381],[1.14100127],[0.93573962],[0.09322184],20210615,Gulkana
POINT (-145.4832551406113 63.296460234529235),1,[1.24477742],[1.2582837],[1.30610946],[1.09945337],[0.06736558],20210615,Gulkana
POINT (-145.48219728879414 63.29539059836415),1,[1.02929784],[1.04011692],[1.04030123],[0.85843939],[0.09569246],20210615,Gulkana
POINT (-145.48011198755682 63.29620393162181),1,[1.00212024],[1.00134569],[0.9996224],[0.82507824],[0.0965096],20210615,Gulkana
POINT (-145.47951711429104 63.29692173673144),1,[0.97817806],[0.97619678],[0.97369962],[0.80945546],[0.09337839],20210615,Gulkana
POINT (-145.47780574227 63.29768332256013),1,[0.91584213],[0.93365321],[0.90649979],[0.73654913],[0.11801209],20210615,Gulkana
POINT (-145.47593786661105 63.29554660917425),1,[0.86795778],[0.85967351],[0.82873144],[0.68854162],[0.11053495],20210615,Gulkana
POINT (-145.47872589783606 63.295492842983876),1,[0.92921524],[0.94476064],[0.9332202],[0.75640309],[0.11072277],20210615,Gulkana
POINT (-145.48087157754588 63.29470802564481),1,[1.00276732],[1.03550629],[1.03013152],[0.85339453],[0.0964115],20210615,Gulkana
POINT (-145.4828744073168 63.29428373124221),1,[0.90743001],[0.90598941],[0.90630038],[0.76323806],[0.08551941],20210615,Gulkana
POINT (-145.48347938103043 63.29337105692137),1,[0.99888481],[1.02523715],[1.0359143],[0.86527436],[0.0846135],20210615,Gulkana
POINT (-145.48177822416778 63.29276805163728),1,[0.82977972],[0.83997353],[0.81736529],[0.67991654],[0.10530826],20210615,Gulkana
POINT (-145.48007448922164 63.2933904842629),1,[1.06596604],[1.10173174],[1.10770047],[0.90123931],[0.10009752],20210615,Gulkana
POINT (-145.47854744126442 63.294181895415655),1,[0.87356586],[0.87706817],[0.86322868],[0.70627999],[0.10786521],20210615,Gulkana
POINT (-145.4755032916021 63.29440002932569),1,[0.82654429],[0.82195014],[0.79582944],[0.65648237],[0.11192109],20210615,Gulkana
POINT (-145.47362109543425 63.29371143295197),1,[0.92878385],[0.95],[0.93860416],[0.77690799],[0.10023233],20210615,Gulkana
POINT (-145.47192602149556 63.29299696563962),1,[1.1682056],[1.18807633],[1.22255834],[1.00229919],[0.0848152],20210615,Gulkana
POINT (-145.47370942374485 63.292041258398044),1,[0.96221661],[0.96194573],[0.94777683],[0.77886084],[0.10517245],20210615,Gulkana
POINT (-145.47562385884757 63.29211745554462),1,[0.94258834],[0.95104787],[0.93042851],[0.79578552],[0.08888217],20210615,Gulkana
POINT (-145.47844846307905 63.29253757224268),1,[1.17899036],[1.2159497],[1.23611795],[1.00701857],[0.09398746],20210615,Gulkana
POINT (-145.4809489161756 63.292062914518596),1,[0.86385957],[0.86491286],[0.84029699],[0.68984352],[0.11260243],20210615,Gulkana
POINT (-145.48325057194603 63.291836765072226),1,[0.79117026],[0.76557467],[0.74019516],[0.62995619],[0.09718057],20210615,Gulkana
POINT (-145.48500479006225 63.292607428742215),1,[0.89858651],[0.90745643],[0.88795503],[0.77641978],[0.07781846],20210615,Gulkana
POINT (-145.48922878327232 63.29525766387212),1,[1.05453419],[1.07427752],[1.09912601],[0.92369706],[0.07536656],20210615,Gulkana
POINT (-145.49089914679834 63.295116140840975),1,[1.18675539],[1.22475182],[1.26483241],[1.0682078],[0.0682716],20210615,Gulkana
POINT (-145.49155397013848 63.29477278663105),1,[1.43351078],[1.3110964],[1.55756046],[1.27276862],[0.01483351],20210615,Gulkana
POINT (-145.49190798664824 63.29409188149821),1,[1.62591097],[1.31906023],[1.81160373],[1.48660547],[-0.05971675],20210615,Gulkana
POINT (-145.49260977176297 63.29352610971259),1,[1.86792106],[1.3266049],[2.03154858],[1.63681202],[-0.10467887],20210615,Gulkana
