,geometry,Class,B2,B3,B4,B5,B6,B8,B11,B12,NDSI,image_date,site_name
0,POINT (-145.47583358803644 63.29869276752685),1,0.8078,1.0616,1.0568,1.0216,1.0413,0.9419,0.8612,0.8304,0.1042230081131683,20210615,Gulkana
1,POINT (-145.47480248171345 63.29829180888198),1,0.9267,0.9968,0.996,0.9552,0.9752,0.9005,0.8218,0.7764,0.0962278675904542,20210615,Gulkana
2,POINT (-145.4737758211282 63.2978073341598),1,0.9267,1.0032,1.0072,0.9688,0.9864,0.9175,0.8283,0.7874,0.0954954954954955,20210615,Gulkana
3,POINT (-145.47399379746776 63.29719692452704),1,0.9211,0.9728,0.9664,0.9304,0.9553,0.8826,0.8031,0.7607,0.0955571822737766,20210615,Gulkana
4,POINT (-145.47475821003803 63.2967873278623),1,0.8937,0.9584,0.956,0.9192,0.9384,0.8588,0.7861,0.7463,0.0987675551734021,20210615,Gulkana
5,POINT (-145.47545927013562 63.29640490151639),1,0.8937,0.9384,0.9344,0.8976,0.9191,0.8506,0.774,0.7332,0.0960056061667834,20210615,Gulkana
6,POINT (-145.4770353151494 63.29703449631322),1,0.8889,0.9504,0.9432,0.9088,0.9259,0.8502,0.7784,0.7367,0.0994909763998149,20210615,Gulkana
7,POINT (-145.47621347563677 63.29735993504216),1,0.894,0.948,0.944,0.9088,0.9275,0.8551,0.78,0.7364,0.0972222222222221,20210615,Gulkana
8,POINT (-145.47563171654494 63.297827197205294),1,0.9026,0.9576,0.9536,0.9208,0.9369,0.8632,0.7907,0.7464,0.0954641651890408,20210615,Gulkana
9,POINT (-145.47653174114282 63.298366008593234),1,0.9342,1.0096,1.0072,0.9704,1.0191,0.9386,0.8499,0.7851,0.0858833019628932,20210615,Gulkana
10,POINT (-145.47883246652037 63.29816776842953),1,0.8841,1.088,1.088,1.0408,1.0744,0.9774,0.8963,0.8623,0.0966083757496346,20210615,Gulkana
11,POINT (-145.48033919521413 63.297766063546796),1,0.9857,1.1344,1.1312,1.0856,1.1133,1.0366,0.9446,0.904,0.0912938912938913,20210615,Gulkana
12,POINT (-145.48198425092522 63.2970872972163),1,0.8977,1.096,1.0832,1.056,1.0445,0.9615,0.8845,0.8616,0.1067912143398132,20210615,Gulkana
13,POINT (-145.4832551406113 63.296460234529235),1,0.9036,1.0368,1.0304,0.9984,1.0124,0.9313,0.8528,0.8188,0.0973751058425063,20210615,Gulkana
14,POINT (-145.48219728879414 63.29539059836415),1,0.8792,0.9176,0.9184,0.8864,0.9027,0.8305,0.759,0.7203,0.0945962066086126,20210615,Gulkana
15,POINT (-145.48011198755682 63.29620393162181),1,0.8808,0.9304,0.932,0.8968,0.9137,0.8416,0.7682,0.7256,0.095490403862004,20210615,Gulkana
16,POINT (-145.47951711429104 63.29692173673144),1,0.8868,0.9432,0.9328,0.9,0.9167,0.8434,0.772,0.7324,0.0998134328358209,20210615,Gulkana
17,POINT (-145.47780574227 63.29768332256013),1,0.9089,0.9544,0.9552,0.9152,0.9422,0.8732,0.7969,0.7491,0.0899331924855821,20210615,Gulkana
18,POINT (-145.47593786661105 63.29554660917425),1,0.8818,0.928,0.9296,0.8944,0.908,0.8372,0.7649,0.7253,0.0963435524839033,20210615,Gulkana
19,POINT (-145.47872589783606 63.295492842983876),1,0.8805,0.9256,0.924,0.8872,0.9068,0.8433,0.7632,0.7164,0.0961629559450497,20210615,Gulkana
20,POINT (-145.48087157754588 63.29470802564481),1,0.8853,0.9416,0.9432,0.908,0.9223,0.8468,0.7722,0.7352,0.0988446726572528,20210615,Gulkana
21,POINT (-145.4828744073168 63.29428373124221),1,0.8805,0.928,0.9432,0.9064,0.9264,0.8511,0.7774,0.7372,0.0883077283921661,20210615,Gulkana
22,POINT (-145.48347938103043 63.29337105692137),1,0.8597,0.9208,0.9264,0.8912,0.91,0.8319,0.7679,0.7192,0.0905430212589565,20210615,Gulkana
23,POINT (-145.48177822416778 63.29276805163728),1,0.8686,0.92,0.9248,0.9008,0.9186,0.8427,0.7764,0.7344,0.0846498467342608,20210615,Gulkana
24,POINT (-145.48007448922164 63.2933904842629),1,0.8754,0.9256,0.9304,0.8944,0.9125,0.8353,0.76,0.7217,0.0982439487422875,20210615,Gulkana
25,POINT (-145.47854744126442 63.294181895415655),1,0.9036,0.9656,0.9736,0.9328,0.9507,0.8773,0.8011,0.756,0.0931114507273447,20210615,Gulkana
26,POINT (-145.4755032916021 63.29440002932569),1,0.8835,0.932,0.9272,0.9,0.9219,0.8499,0.7771,0.7305,0.0906324966356562,20210615,Gulkana
27,POINT (-145.47362109543425 63.29371143295197),1,0.8887,0.9368,0.9392,0.9104,0.93,0.8546,0.7818,0.7392,0.0901896892819736,20210615,Gulkana
