,geometry,Class,B2,B3,B4,B5,B6,B8,B11,B12,NDSI,image_date,site_name
0,POINT (-145.47583358803644 63.29869276752685),1,0.7937,0.9712,0.9302,0.9487,0.9301,0.8763,0.8276,0.7776,0.0798309984434066,20210615,Gulkana
1,POINT (-145.47480248171345 63.29829180888198),1,0.9065,0.9083,0.8692,0.8769,0.8591,0.8228,0.7726,0.7179,0.0807305610089833,20210615,Gulkana
2,POINT (-145.4737758211282 63.2978073341598),1,0.882,0.889,0.8535,0.863,0.8458,0.8159,0.7587,0.7056,0.0790799295988347,20210615,Gulkana
3,POINT (-145.47399379746776 63.29719692452704),1,0.9046,0.9214,0.8785,0.8879,0.8747,0.8376,0.7838,0.7295,0.0806943467041988,20210615,Gulkana
4,POINT (-145.47475821003803 63.2967873278623),1,0.9066,0.9321,0.891,0.8992,0.8856,0.8403,0.7907,0.7342,0.0820756907360112,20210615,Gulkana
5,POINT (-145.47545927013562 63.29640490151639),1,0.9066,0.919,0.8768,0.8841,0.8722,0.8364,0.7829,0.7261,0.0799694459133909,20210615,Gulkana
6,POINT (-145.4770353151494 63.29703449631322),1,0.903,0.9311,0.8867,0.8965,0.8817,0.839,0.7904,0.732,0.0817310485042114,20210615,Gulkana
7,POINT (-145.47621347563677 63.29735993504216),1,0.9127,0.9337,0.8903,0.9012,0.887,0.8478,0.7956,0.7346,0.0798589024460764,20210615,Gulkana
8,POINT (-145.47563171654494 63.297827197205294),1,0.9044,0.9347,0.8932,0.9076,0.8869,0.8476,0.7981,0.741,0.078831948291782,20210615,Gulkana
9,POINT (-145.47653174114282 63.298366008593234),1,0.9309,0.9427,0.9026,0.917,0.9082,0.87,0.813,0.7475,0.0738736686222019,20210615,Gulkana
10,POINT (-145.47883246652037 63.29816776842953),1,0.7676,0.8562,0.8196,0.8253,0.8188,0.7756,0.7344,0.688,0.0765748774047528,20210615,Gulkana
11,POINT (-145.48033919521413 63.297766063546796),1,0.8685,0.8986,0.86,0.8692,0.849,0.8219,0.7732,0.7287,0.0750089723651154,20210615,Gulkana
12,POINT (-145.48198425092522 63.2970872972163),1,0.6948,0.8627,0.818,0.8358,0.8185,0.7833,0.7426,0.6879,0.0748146763844764,20210615,Gulkana
13,POINT (-145.4832551406113 63.296460234529235),1,0.9106,0.93,0.8869,0.9055,0.8953,0.8559,0.8072,0.7474,0.0706884641952567,20210615,Gulkana
14,POINT (-145.48219728879414 63.29539059836415),1,0.9148,0.9348,0.8971,0.9093,0.8928,0.8518,0.8001,0.7431,0.0776413626145598,20210615,Gulkana
15,POINT (-145.48011198755682 63.29620393162181),1,0.8973,0.9134,0.8768,0.8847,0.8698,0.831,0.78,0.7203,0.0787764261249556,20210615,Gulkana
16,POINT (-145.47951711429104 63.29692173673144),1,0.8849,0.9036,0.8562,0.8681,0.8563,0.8168,0.7687,0.7101,0.080667344376009,20210615,Gulkana
17,POINT (-145.47780574227 63.29768332256013),1,0.9017,0.9163,0.8791,0.8848,0.8701,0.8361,0.7843,0.7281,0.0776196636481241,20210615,Gulkana
