site_name,image_date,image_product,class,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,NDSI,geometry
Gulkana,20210610,Landsat,1,1.4348675,1.459755,1.42934,1.3915,1.153295,0.2111725,0.21989,0.975645,0.742553013,POINT (-145.44545619974298 63.294158300762064)
Gulkana,20210610,Landsat,1,1.4309075,1.455025,1.424005,1.385175,1.1528275,0.21252,0.22143,0.976195,0.740278945,POINT (-145.4465234476197 63.29261941729054)
Gulkana,20210610,Landsat,1,1.4052775,1.426865,1.3908125,1.34981,1.121175,0.2105675,0.2189,0.9769925,0.737017447,POINT (-145.44958776859076 63.29054851281069)
Gulkana,20210610,Landsat,1,1.444245,1.4721575,1.4422925,1.4043425,1.17502,0.2234925,0.2310275,0.9823825,0.731667052,POINT (-145.4527076990357 63.29202219524237)
Gulkana,20210610,Landsat,1,1.4778225,1.5045525,1.4791425,1.445565,1.21319,0.2199175,0.2280025,0.9602175,0.74113039,POINT (-145.45578056739149 63.29438130677221)
Gulkana,20210610,Landsat,1,1.5047725,1.534555,1.51294,1.48203,1.2455575,0.2140325,0.223025,0.9631875,0.752129811,POINT (-145.45230743347412 63.294897384701706)
Gulkana,20210610,Landsat,1,1.45112,1.475705,1.4448225,1.408055,1.172875,0.2129875,0.2214575,0.967615,0.743049565,POINT (-145.448348189407 63.29529733531625)
Gulkana,20210610,Landsat,1,1.4135,1.4342075,1.3999425,1.358775,1.12739,0.2110625,0.220055,0.97867,0.737974122,POINT (-145.44342764786828 63.290702854255635)
Gulkana,20210610,Landsat,1,1.43682,1.461845,1.4289275,1.3893,1.1575025,0.2121625,0.2205775,0.978725,0.741437094,POINT (-145.4464681566298 63.28907476265303)
Gulkana,20210610,Landsat,1,1.4172125,1.4420725,1.409485,1.36939,1.139545,0.2111725,0.2194775,0.97812,0.739398979,POINT (-145.45138052906847 63.28923899090293)
Gulkana,20210610,Landsat,1,1.38897,1.4141325,1.3676025,1.32957,1.1097075,0.209715,0.219065,0.9801275,0.734086511,POINT (-145.448800356464 63.28688514066169)
Gulkana,20210610,Landsat,1,1.419715,1.4429525,1.40866,1.37533,1.1359425,0.2122725,0.22088,0.979715,0.738085947,POINT (-145.44357686174652 63.287935690914196)
Gulkana,20210610,Landsat,1,1.4543375,1.486045,1.4588475,1.42681,1.1963875,0.2129325,0.2220625,0.9783675,0.745262535,POINT (-145.43785517228974 63.28909134321783)
Gulkana,20210610,Landsat,1,1.4607175,1.4944325,1.4813425,1.4574725,1.22177,0.2129875,0.2207975,0.9780925,0.748587937,POINT (-145.42971594792044 63.28944488174547)
Gulkana,20210610,Landsat,1,1.421475,1.4467475,1.4200725,1.3830575,1.1462,0.2172225,0.225335,0.981585,0.734656858,POINT (-145.43284074900143 63.29080831035954)
Gulkana,20210610,Landsat,1,1.3295975,1.3438975,1.3027025,1.257355,1.0367775,0.209275,0.218405,0.9806775,0.723177098,POINT (-145.43996605496633 63.28645642618222)
Gulkana,20210610,Landsat,1,1.3688675,1.39084,1.3533575,1.3107875,1.0846275,0.20999,0.2190925,0.98318,0.731358511,POINT (-145.44448157909207 63.28484452227695)
Gulkana,20210610,Landsat,1,1.394305,1.42076,1.39062,1.3526975,1.1210375,0.2137025,0.22286,0.986975,0.733591594,POINT (-145.4379386897833 63.28300090123368)
Gulkana,20210610,Landsat,1,1.3414225,1.358775,1.3239325,1.2810875,1.054405,0.2113375,0.2203025,0.98208,0.72469012,POINT (-145.4355340096532 63.28651857918948)
Gulkana,20210610,Landsat,1,1.390895,1.4142975,1.37896,1.3391125,1.1089375,0.2129875,0.222255,0.981365,0.73241894,POINT (-145.43809473677123 63.284663891970474)
Gulkana,20210610,Landsat,1,1.39876,1.4246375,1.4225475,1.3887225,1.13883,0.2144725,0.22253,0.98175,0.737972047,POINT (-145.43323127764924 63.28361371936349)
Gulkana,20210610,Landsat,1,1.4570325,1.4826625,1.45541,1.4192475,1.183435,0.21637,0.2244,0.98087,0.741150151,POINT (-145.45357319973326 63.28505425063282)
Gulkana,20210610,Landsat,1,1.4372325,1.4702325,1.425325,1.39557,1.1668525,0.2771725,0.2728825,0.979,0.674393061,POINT (-145.4522225241247 63.282713800754074)
Gulkana,20210610,Landsat,1,1.35751,1.3930125,1.35949,1.3258025,1.0983225,0.2094125,0.21769,0.9833725,0.733045871,POINT (-145.4514290421458 63.27916112603051)
