site_name,image_date,image_product,class,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDSI,geometry
Gulkana,20210615,Sentinel-2_SR,1,0.8078,1.0616,1.0568,1.0216,1.0413,0.9419,0.8612,0.8304,0.768,0.6945,0.0204,0.0175,0.962124025,POINT (-145.47583358803644 63.29869276752685)
Gulkana,20210615,Sentinel-2_SR,1,0.9267,0.9968,0.996,0.9552,0.9752,0.9005,0.8218,0.7764,0.7222,0.7241,0.018,0.0153,0.964497041,POINT (-145.47480248171345 63.29829180888198)
Gulkana,20210615,Sentinel-2_SR,1,0.9267,1.0032,1.0072,0.9688,0.9864,0.9175,0.8283,0.7874,0.7436,0.7388,0.0179,0.0156,0.965076578,POINT (-145.4737758211282 63.2978073341598)
Gulkana,20210615,Sentinel-2_SR,1,0.9211,0.9728,0.9664,0.9304,0.9553,0.8826,0.8031,0.7607,0.7222,0.7205,0.0179,0.0154,0.963628975,POINT (-145.47399379746776 63.29719692452704)
Gulkana,20210615,Sentinel-2_SR,1,0.8937,0.9584,0.956,0.9192,0.9384,0.8588,0.7861,0.7463,0.7026,0.6993,0.0168,0.0146,0.965460526,POINT (-145.47475821003803 63.2967873278623)
Gulkana,20210615,Sentinel-2_SR,1,0.8937,0.9384,0.9344,0.8976,0.9191,0.8506,0.774,0.7332,0.6968,0.6993,0.0164,0.0138,0.965502735,POINT (-145.47545927013562 63.29640490151639)
Gulkana,20210615,Sentinel-2_SR,1,0.8889,0.9504,0.9432,0.9088,0.9259,0.8502,0.7784,0.7367,0.6934,0.6929,0.0161,0.0139,0.966433858,POINT (-145.4770353151494 63.29703449631322)
Gulkana,20210615,Sentinel-2_SR,1,0.894,0.948,0.944,0.9088,0.9275,0.8551,0.78,0.7364,0.6986,0.6993,0.0174,0.0154,0.963802788,POINT (-145.47621347563677 63.29735993504216)
Gulkana,20210615,Sentinel-2_SR,1,0.9026,0.9576,0.9536,0.9208,0.9369,0.8632,0.7907,0.7464,0.7067,0.706,0.0183,0.0165,0.962341805,POINT (-145.47563171654494 63.297827197205294)
Gulkana,20210615,Sentinel-2_SR,1,0.9342,1.0096,1.0072,0.9704,1.0191,0.9386,0.8499,0.7851,0.763,0.7257,0.0214,0.0193,0.958390045,POINT (-145.47653174114282 63.298366008593234)
Gulkana,20210615,Sentinel-2_SR,1,0.8841,1.088,1.088,1.0408,1.0744,0.9774,0.8963,0.8623,0.8089,0.7453,0.0166,0.0152,0.969943871,POINT (-145.47883246652037 63.29816776842953)
Gulkana,20210615,Sentinel-2_SR,1,0.9857,1.1344,1.1312,1.0856,1.1133,1.0366,0.9446,0.904,0.8338,0.7925,0.019,0.0159,0.966962267,POINT (-145.48033919521413 63.297766063546796)
Gulkana,20210615,Sentinel-2_SR,1,0.8977,1.096,1.0832,1.056,1.0445,0.9615,0.8845,0.8616,0.7841,0.7607,0.0167,0.0149,0.969633603,POINT (-145.48198425092522 63.2970872972163)
Gulkana,20210615,Sentinel-2_SR,1,0.9036,1.0368,1.0304,0.9984,1.0124,0.9313,0.8528,0.8188,0.7572,0.7385,0.0165,0.0133,0.968478365,POINT (-145.4832551406113 63.296460234529235)
Gulkana,20210615,Sentinel-2_SR,1,0.8792,0.9176,0.9184,0.8864,0.9027,0.8305,0.759,0.7203,0.6744,0.6843,0.0157,0.0121,0.966384755,POINT (-145.48219728879414 63.29539059836415)
Gulkana,20210615,Sentinel-2_SR,1,0.8808,0.9304,0.932,0.8968,0.9137,0.8416,0.7682,0.7256,0.6821,0.6806,0.0161,0.0132,0.966037338,POINT (-145.48011198755682 63.29620393162181)
Gulkana,20210615,Sentinel-2_SR,1,0.8868,0.9432,0.9328,0.9,0.9167,0.8434,0.772,0.7324,0.6855,0.6888,0.0152,0.013,0.967932489,POINT (-145.47951711429104 63.29692173673144)
Gulkana,20210615,Sentinel-2_SR,1,0.9089,0.9544,0.9552,0.9152,0.9422,0.8732,0.7969,0.7491,0.7053,0.7073,0.0165,0.0138,0.966038901,POINT (-145.47780574227 63.29768332256013)
Gulkana,20210615,Sentinel-2_SR,1,0.8818,0.928,0.9296,0.8944,0.908,0.8372,0.7649,0.7253,0.6842,0.6843,0.0163,0.0137,0.965535469,POINT (-145.47593786661105 63.29554660917425)
Gulkana,20210615,Sentinel-2_SR,1,0.8805,0.9256,0.924,0.8872,0.9068,0.8433,0.7632,0.7164,0.6778,0.6821,0.0152,0.0138,0.967632027,POINT (-145.47872589783606 63.295492842983876)
Gulkana,20210615,Sentinel-2_SR,1,0.8853,0.9416,0.9432,0.908,0.9223,0.8468,0.7722,0.7352,0.6897,0.6892,0.0162,0.0138,0.966228893,POINT (-145.48087157754588 63.29470802564481)
Gulkana,20210615,Sentinel-2_SR,1,0.8805,0.928,0.9432,0.9064,0.9264,0.8511,0.7774,0.7372,0.6934,0.6919,0.017,0.0147,0.96459071,POINT (-145.4828744073168 63.29428373124221)
Gulkana,20210615,Sentinel-2_SR,1,0.8597,0.9208,0.9264,0.8912,0.91,0.8319,0.7679,0.7192,0.6766,0.673,0.017,0.0135,0.963960144,POINT (-145.48347938103043 63.29337105692137)
Gulkana,20210615,Sentinel-2_SR,1,0.8686,0.92,0.9248,0.9008,0.9186,0.8427,0.7764,0.7344,0.6914,0.6944,0.0176,0.0144,0.962648557,POINT (-145.48177822416778 63.29276805163728)
Gulkana,20210615,Sentinel-2_SR,1,0.8754,0.9256,0.9304,0.8944,0.9125,0.8353,0.76,0.7217,0.6803,0.6821,0.0164,0.0132,0.965356992,POINT (-145.48007448922164 63.2933904842629)
Gulkana,20210615,Sentinel-2_SR,1,0.9036,0.9656,0.9736,0.9328,0.9507,0.8773,0.8011,0.756,0.7128,0.7168,0.0177,0.0154,0.964289317,POINT (-145.47854744126442 63.294181895415655)
Gulkana,20210615,Sentinel-2_SR,1,0.8835,0.932,0.9272,0.9,0.9219,0.8499,0.7771,0.7305,0.693,0.6908,0.018,0.014,0.961912823,POINT (-145.4755032916021 63.29440002932569)
Gulkana,20210615,Sentinel-2_SR,1,0.8887,0.9368,0.9392,0.9104,0.93,0.8546,0.7818,0.7392,0.6908,0.6959,0.0177,0.0155,0.963005539,POINT (-145.47362109543425 63.29371143295197)
Gulkana,20210615,Sentinel-2_SR,1,0.8345,0.9232,0.94,0.9272,0.9491,0.8719,0.7939,0.7579,0.7175,0.6971,0.0168,0.016,0.964882943,POINT (-145.47192602149556 63.29299696563962)
Gulkana,20210615,Sentinel-2_SR,1,0.8717,0.8968,0.9088,0.8648,0.9021,0.8318,0.76,0.7041,0.6757,0.69,0.0166,0.0133,0.964123622,POINT (-145.47370942374485 63.292041258398044)
Gulkana,20210615,Sentinel-2_SR,1,0.8483,0.8968,0.9032,0.8664,0.881,0.8079,0.7423,0.7038,0.6566,0.6579,0.0164,0.0142,0.964332318,POINT (-145.47562385884757 63.29211745554462)
Gulkana,20210615,Sentinel-2_SR,1,0.8621,0.8984,0.9016,0.8712,0.8792,0.8089,0.7428,0.7001,0.6618,0.6824,0.0159,0.0126,0.965340599,POINT (-145.47844846307905 63.29253757224268)
Gulkana,20210615,Sentinel-2_SR,1,0.9048,0.948,0.9552,0.9296,0.9564,0.8807,0.8045,0.7608,0.7216,0.7389,0.0172,0.0137,0.964623612,POINT (-145.4809489161756 63.292062914518596)
Gulkana,20210615,Sentinel-2_SR,1,0.9114,0.9968,1.0104,0.984,1.0163,0.9375,0.8577,0.8124,0.7584,0.7579,0.0166,0.0131,0.967672833,POINT (-145.48325057194603 63.291836765072226)
