site_name,image_date,image_product,class,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDSI,geometry
Gulkana,20210615,Sentinel-2_TOA,1,0.7937,0.9712,0.9302,0.9487,0.9301,0.8763,0.8276,0.7776,0.7605,0.2628,0.0017,0.0201,0.99635154,POINT (-145.47583358803644 63.29869276752685)
Gulkana,20210615,Sentinel-2_TOA,1,0.9065,0.9083,0.8692,0.8769,0.8591,0.8228,0.7726,0.7179,0.6991,0.3002,0.0015,0.0174,0.996554496,POINT (-145.47480248171345 63.29829180888198)
Gulkana,20210615,Sentinel-2_TOA,1,0.882,0.889,0.8535,0.863,0.8458,0.8159,0.7587,0.7056,0.7009,0.2964,0.0015,0.017,0.996491228,POINT (-145.4737758211282 63.2978073341598)
Gulkana,20210615,Sentinel-2_TOA,1,0.9046,0.9214,0.8785,0.8879,0.8747,0.8376,0.7838,0.7295,0.7247,0.2982,0.0017,0.018,0.996137242,POINT (-145.47399379746776 63.29719692452704)
Gulkana,20210615,Sentinel-2_TOA,1,0.9066,0.9321,0.891,0.8992,0.8856,0.8403,0.7907,0.7342,0.7268,0.2977,0.0016,0.0175,0.996414968,POINT (-145.47475821003803 63.2967873278623)
Gulkana,20210615,Sentinel-2_TOA,1,0.9066,0.919,0.8768,0.8841,0.8722,0.8364,0.7829,0.7261,0.7243,0.2977,0.0016,0.0171,0.996357013,POINT (-145.47545927013562 63.29640490151639)
Gulkana,20210615,Sentinel-2_TOA,1,0.903,0.9311,0.8867,0.8965,0.8817,0.839,0.7904,0.732,0.724,0.2971,0.0016,0.0169,0.996397613,POINT (-145.4770353151494 63.29703449631322)
Gulkana,20210615,Sentinel-2_TOA,1,0.9127,0.9337,0.8903,0.9012,0.887,0.8478,0.7956,0.7346,0.7325,0.3011,0.0016,0.0184,0.996412154,POINT (-145.47621347563677 63.29735993504216)
Gulkana,20210615,Sentinel-2_TOA,1,0.9044,0.9347,0.8932,0.9076,0.8869,0.8476,0.7981,0.741,0.7339,0.3015,0.0016,0.019,0.996423782,POINT (-145.47563171654494 63.297827197205294)
Gulkana,20210615,Sentinel-2_TOA,1,0.9309,0.9427,0.9026,0.917,0.9082,0.87,0.813,0.7475,0.7523,0.3086,0.0018,0.0209,0.99601946,POINT (-145.47653174114282 63.298366008593234)
Gulkana,20210615,Sentinel-2_TOA,1,0.7676,0.8562,0.8196,0.8253,0.8188,0.7756,0.7344,0.688,0.6831,0.2439,0.0014,0.0143,0.996589525,POINT (-145.47883246652037 63.29816776842953)
Gulkana,20210615,Sentinel-2_TOA,1,0.8685,0.8986,0.86,0.8692,0.849,0.8219,0.7732,0.7287,0.7037,0.2888,0.0016,0.0163,0.99628598,POINT (-145.48033919521413 63.297766063546796)
Gulkana,20210615,Sentinel-2_TOA,1,0.6948,0.8627,0.818,0.8358,0.8185,0.7833,0.7426,0.6879,0.6785,0.2101,0.0012,0.0147,0.997070313,POINT (-145.48198425092522 63.2970872972163)
